source,target,relType,properties
70,107,CONNECTED_TO,"{
  since: 1760181252686
}"
71,107,CONNECTED_TO,"{
  since: 1760181252686
}"
72,107,CONNECTED_TO,"{
  since: 1760181252686
}"
73,107,CONNECTED_TO,"{
  since: 1760181252686
}"
74,107,CONNECTED_TO,"{
  since: 1760181252686
}"
75,107,CONNECTED_TO,"{
  since: 1760181252686
}"
76,107,CONNECTED_TO,"{
  since: 1760181252686
}"
77,107,CONNECTED_TO,"{
  since: 1760181252686
}"
78,107,CONNECTED_TO,"{
  since: 1760181252686
}"
79,107,CONNECTED_TO,"{
  since: 1760181252686
}"
80,108,CONNECTED_TO,"{
  since: 1760181252686
}"
81,108,CONNECTED_TO,"{
  since: 1760181252686
}"
82,108,CONNECTED_TO,"{
  since: 1760181252686
}"
83,108,CONNECTED_TO,"{
  since: 1760181252686
}"
84,108,CONNECTED_TO,"{
  since: 1760181252686
}"
85,108,CONNECTED_TO,"{
  since: 1760181252686
}"
86,108,CONNECTED_TO,"{
  since: 1760181252686
}"
87,108,CONNECTED_TO,"{
  since: 1760181252686
}"
88,108,CONNECTED_TO,"{
  since: 1760181252686
}"
89,108,CONNECTED_TO,"{
  since: 1760181252686
}"
90,109,CONNECTED_TO,"{
  since: 1760181252686
}"
91,109,CONNECTED_TO,"{
  since: 1760181252686
}"
92,109,CONNECTED_TO,"{
  since: 1760181252686
}"
93,109,CONNECTED_TO,"{
  since: 1760181252686
}"
94,109,CONNECTED_TO,"{
  since: 1760181252686
}"
95,109,CONNECTED_TO,"{
  since: 1760181252686
}"
96,109,CONNECTED_TO,"{
  since: 1760181252686
}"
97,109,CONNECTED_TO,"{
  since: 1760181252686
}"
98,109,CONNECTED_TO,"{
  since: 1760181252686
}"
99,109,CONNECTED_TO,"{
  since: 1760181252686
}"
100,118,CONNECTED_TO,"{
  since: 1760181524034
}"
101,118,CONNECTED_TO,"{
  since: 1760181524034
}"
102,118,CONNECTED_TO,"{
  since: 1760181524034
}"
103,119,CONNECTED_TO,"{
  since: 1760181524034
}"
104,119,CONNECTED_TO,"{
  since: 1760181524034
}"
105,119,CONNECTED_TO,"{
  since: 1760181524034
}"
106,120,CONNECTED_TO,"{
  since: 1760181524034
}"
107,120,CONNECTED_TO,"{
  since: 1760181524034
}"
108,121,CONNECTED_TO,"{
  since: 1760181524034
}"
109,121,CONNECTED_TO,"{
  since: 1760181524034
}"
110,112,CONNECTED_TO,"{
  link: WAN Uplink,
  since: 1760263133952
}"
110,122,UPLINK_TO,"{
  purpose: core-uplink,
  since: 1760182331989
}"
110,124,UPLINK_TO,"{
  purpose: core-uplink,
  since: 1760182331989
}"
111,112,CONNECTED_TO,"{
  link: WAN Uplink,
  since: 1760263133952
}"
111,122,UPLINK_TO,"{
  purpose: core-uplink,
  since: 1760182331989
}"
111,124,UPLINK_TO,"{
  purpose: core-uplink,
  since: 1760182331989
}"
113,123,CONNECTED_TO,"{
  since: 1760181712924
}"
114,123,CONNECTED_TO,"{
  since: 1760181712924
}"
115,123,CONNECTED_TO,"{
  since: 1760181712924
}"
116,123,CONNECTED_TO,"{
  since: 1760181712924
}"
117,123,CONNECTED_TO,"{
  since: 1760181712924
}"
118,122,UPLINK_TO,"{
  since: 1760182330104
}"
118,124,UPLINK_TO,"{
  since: 1760182330104
}"
119,122,UPLINK_TO,"{
  since: 1760182330104
}"
119,124,UPLINK_TO,"{
  since: 1760182330104
}"
120,122,UPLINK_TO,"{
  since: 1760182330104
}"
120,124,UPLINK_TO,"{
  since: 1760182330104
}"
121,122,UPLINK_TO,"{
  since: 1760182330104
}"
121,124,UPLINK_TO,"{
  since: 1760182330104
}"
122,128,CONNECTED_TO,"{
  purpose: Traffic Inspection,
  since: 1760263404307
}"
124,128,CONNECTED_TO,"{
  purpose: Traffic Inspection,
  since: 1760263404307
}"
128,123,CONNECTED_TO,"{
  purpose: Server Network Access,
  since: 1760263404782
}"
